-16.459, -19.372
-16.717, -17.585
-17.147, -14.614
-16.588, -18.478
-16.889, -16.401
-16.545, -18.78
-16.502, -19.071
-16.975, -15.799
-16.631, -18.177
-16.76, -17.294
-16.846, -16.702
-16.86, -15.171
-16.473, -17.851
-16.43, -18.152
-16.989, -14.278
-16.387, -18.443
-16.516, -17.55
-16.903, -14.87
-16.946, -14.579
-16.774, -15.763
-16.817, -15.462
-16.645, -16.667
-16.688, -16.365
-16.731, -16.064
-17.075, -13.686
-16.559, -17.259
-16.344, -18.744
-16.258, -19.336
-16.301, -19.035
-16.602, -16.958
-17.032, -13.987
-16.1, -19
-16.755, -14.543
-16.444, -16.631
-16.54, -16.029
-16.358, -17.223
-16.229, -18.117
-16.487, -16.33
-16.143, -18.709
-16.884, -13.65
-16.712, -14.834
-16.186, -18.408
-16.841, -13.951
-16.272, -17.816
-16.669, -15.136
-16.401, -16.922
-16.315, -17.525
-16.626, -15.427
-16.798, -14.242
-16.583, -15.728
-16.057, -19.301
-15.942, -18.674
-16.114, -17.489
-15.899, -18.975
-16.64, -13.916
-16.597, -14.207
-16.339, -15.994
-16.425, -15.401
-16.253, -16.596
-16.468, -15.1
-16.21, -16.897
-16.296, -16.295
-16.167, -17.188
-16.382, -15.692
-16.683, -13.615
-16.511, -14.799
-15.985, -18.373
-16.071, -17.78
-16.028, -18.081
-16.554, -14.508
-15.856, -19.266
-15.81, -17.736
-15.595, -19.222
-15.982, -16.552
-16.154, -15.348
-15.939, -16.843
-15.638, -18.921
-16.326, -14.163
-16.197, -15.057
-15.724, -18.329
-15.853, -17.435
-16.283, -14.464
-16.025, -16.251
-16.111, -15.649
-15.681, -18.63
-16.24, -14.756
-15.896, -17.144
-16.412, -13.571
-16.369, -13.872
-16.068, -15.95
-15.767, -18.038
-15.91, -15.614
-15.609, -17.701
-15.695, -17.109
-15.48, -18.594
-15.824, -16.216
-16.092, -14.429
-15.652, -17.41
-15.781, -16.517
-15.738, -16.808
-16.049, -14.72
-15.867, -15.915
-16.135, -14.128
-16.006, -15.021
-16.178, -13.837
-16.221, -13.536
-15.437, -18.886
-15.394, -19.187
-15.566, -18.002
-15.523, -18.293
-15.963, -15.322
-15.849, -14.695
-15.762, -15.287
-15.451, -17.375
-15.494, -17.074
-15.538, -16.783
-15.236, -18.86
-15.322, -18.258
-16.021, -13.5
-15.193, -19.151
-15.805, -14.986
-15.279, -18.559
-15.58, -16.482
-15.891, -14.394
-15.365, -17.967
-15.719, -15.578
-15.408, -17.666
-15.676, -15.879
-15.978, -13.801
-15.633, -16.18
-15.934, -14.093
-15.261, -17.339
-15.433, -16.155
-15.002, -19.116
-15.777, -13.766
-15.691, -14.358
-15.604, -14.951
-15.174, -17.931
-15.088, -18.524
-15.562, -15.252
-15.648, -14.659
-15.303, -17.038
-15.734, -14.067
-15.131, -18.233
-15.82, -13.465
-15.475, -15.844
-15.045, -18.825
-15.347, -16.747
-15.39, -16.446
-15.217, -17.63
-15.518, -15.543
-15.146, -16.712
-15.318, -15.517
-15.361, -15.216
-15.49, -14.323
-15.017, -17.605
-14.801, -19.081
-15.447, -14.624
-15.533, -14.032
-15.103, -17.003
-15.232, -16.12
-15.576, -13.731
-14.844, -18.789
-15.404, -14.915
-14.931, -18.197
-15.189, -16.411
-14.974, -17.896
-14.887, -18.488
-15.275, -15.809
-15.06, -17.304
-15.619, -13.44
-15.385, -13.695
-14.988, -16.375
-14.73, -18.162
-14.945, -16.677
-15.428, -13.404
-15.17, -15.181
-15.031, -16.084
-14.816, -17.57
-15.213, -14.89
-14.644, -18.754
-14.773, -17.861
-15.299, -14.288
-15.117, -15.482
-14.601, -19.055
-14.859, -17.269
